"","Address","Date","Rent","Aprt_Type","Building_Type"
"1","1777 Columbia Rd NW, Washington, DC 20009","2026/01/01",2004,"Studio","Apartment"
"2","1777 Columbia Rd NW, Washington, DC 20009","2026/01/01",2416,"1 Bed","Apartment"
"3","8750 Georgia Ave, Silver Spring, MD 20910","2026/01/01",1350,"Studio","Apartment"
"4","8750 Georgia Ave, Silver Spring, MD 20910","2026/01/01",1575,"1 Bed","Apartment"
"5","8750 Georgia Ave, Silver Spring, MD 20910","2026/01/01",2150,"2 Beds","Apartment"
"6","150 I St SE, Washington, DC 20003","2026/01/01",1875,"Studio","Apartment"
"7","150 I St SE, Washington, DC 20003","2026/01/01",2310,"1 Bed","Apartment"
"8","150 I St SE, Washington, DC 20003","2026/01/01",3366,"2 Beds","Apartment"
"9","1240 3rd St NE, Washington, DC 20002","2026/01/01",1674,"Studio","Apartment"
"10","1240 3rd St NE, Washington, DC 20002","2026/01/01",2114,"1 Bed","Apartment"
"11","1240 3rd St NE, Washington, DC 20002","2026/01/01",3481,"2 Beds+","Apartment"
"12","440 Penn St NE, Washington, DC 20002","2026/01/01",1992,"1 Bed","Apartment"
"13","440 Penn St NE, Washington, DC 20002","2026/01/01",3302,"2 Beds","Apartment"
"14","440 Penn St NE, Washington, DC 20002","2026/01/01",5784,"3 Beds","Apartment"
"15","44 Banner Ln, Washington, DC 20001","2026/01/01",1379,"Studio","Apartment"
"16","44 Banner Ln, Washington, DC 20001","2026/01/01",1678,"1 Bed","Apartment"
"17","44 Banner Ln, Washington, DC 20001","2026/01/01",2468,"2 Beds+","Apartment"
"18","4000 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",2406,"1 Bed","Apartment"
"19","4000 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",3695,"2 Beds","Apartment"
"20","4000 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",8058,"3 Beds","Apartment"
"21","1701 H St NE, Washington, DC 20002","2026/01/01",1573,"Studio","Apartment"
"22","1701 H St NE, Washington, DC 20002","2026/01/01",1808,"1 Bed","Apartment"
"23","1701 H St NE, Washington, DC 20002","2026/01/01",3340,"2 Beds","Apartment"
"24","700 Kenilworth Ter NE, Washington, DC 20019","2026/01/01",1625,"Studio","Apartment"
"25","700 Kenilworth Ter NE, Washington, DC 20019","2026/01/01",1735,"1 Bed","Apartment"
"26","700 Kenilworth Ter NE, Washington, DC 20019","2026/01/01",2460,"2 Beds","Apartment"
"27","300 12th St SW, Washington, DC 20024","2026/01/01",1982,"Studio","Apartment"
"28","300 12th St SW, Washington, DC 20024","2026/01/01",2241,"1 Bed","Apartment"
"29","300 12th St SW, Washington, DC 20024","2026/01/01",3678,"2 Beds+","Apartment"
"30","7 M St NE, Washington, DC 20002","2026/01/01",1508,"Studio","Apartment"
"31","7 M St NE, Washington, DC 20002","2026/01/01",1715,"1 Bed","Apartment"
"32","7 M St NE, Washington, DC 20002","2026/01/01",1887,"2 Beds+","Apartment"
"33","113 Potomac Ave SW, Washington, DC 20024","2026/01/01",2085,"Studio","Apartment"
"34","113 Potomac Ave SW, Washington, DC 20024","2026/01/01",2452,"1 Bed","Apartment"
"35","113 Potomac Ave SW, Washington, DC 20024","2026/01/01",2925,"2 Beds+","Apartment"
"36","1224 M St NW, Washington, DC 20005","2026/01/01",2395,"1 Bed","Apartment"
"37","1224 M St NW, Washington, DC 20005","2026/01/01",4075,"2 Beds","Apartment"
"38","6830-6896 Laurel St NW, Washington, DC 20012","2026/01/01",1405,"Studio","Apartment"
"39","6830-6896 Laurel St NW, Washington, DC 20012","2026/01/01",1523,"1 Bed","Apartment"
"40","6830-6896 Laurel St NW, Washington, DC 20012","2026/01/01",1523,"2 Beds","Apartment"
"41","1700 H St NE, Washington, DC 20002","2026/01/01",1535,"Studio","Apartment"
"42","1700 H St NE, Washington, DC 20002","2026/01/01",1720,"1 Bed","Apartment"
"43","1700 H St NE, Washington, DC 20002","2026/01/01",3125,"2 Beds","Apartment"
"44","1425 New York Ave NW, Washington, DC 20005","2026/01/01",2995,"Studio","Apartment"
"45","1425 New York Ave NW, Washington, DC 20005","2026/01/01",3565,"1 Bed","Apartment"
"46","1425 New York Ave NW, Washington, DC 20005","2026/01/01",3857,"2 Beds","Apartment"
"47","2650 Woodley Rd NW, Washington, DC 20008","2026/01/01",3510,"1 Bed","Apartment"
"48","2650 Woodley Rd NW, Washington, DC 20008","2026/01/01",5330,"2 Beds","Apartment"
"49","2650 Woodley Rd NW, Washington, DC 20008","2026/01/01",7040,"3 Beds","Apartment"
"50","600 Howard Rd SE, Washington, DC 20020","2026/01/01",1839,"Studio","Apartment"
"51","600 Howard Rd SE, Washington, DC 20020","2026/01/01",2142,"1 Bed","Apartment"
"52","600 Howard Rd SE, Washington, DC 20020","2026/01/01",4221,"2 Beds","Apartment"
"53","650 Howard Rd SE, Washington, DC 20020","2026/01/01",1653,"Studio","Apartment"
"54","650 Howard Rd SE, Washington, DC 20020","2026/01/01",2073,"1 Bed","Apartment"
"55","650 Howard Rd SE, Washington, DC 20020","2026/01/01",4348,"2 Beds","Apartment"
"56","2601 Calvert St NW, Washington, DC 20008","2026/01/01",1950,"Studio","Apartment"
"57","2601 Calvert St NW, Washington, DC 20008","2026/01/01",2745,"1 Bed","Apartment"
"58","2601 Calvert St NW, Washington, DC 20008","2026/01/01",4580,"2 Beds","Apartment"
"59","733 15th St NW, Washington, DC 20005","2026/01/01",2560,"Studio","Apartment"
"60","733 15th St NW, Washington, DC 20005","2026/01/01",2760,"1 Bed","Apartment"
"61","733 15th St NW, Washington, DC 20005","2026/01/01",3900,"2 Beds","Apartment"
"62","200 Rhode Island Ave NE, Washington, DC 20002","2026/01/01",1799,"Studio","Apartment"
"63","200 Rhode Island Ave NE, Washington, DC 20002","2026/01/01",1928,"1 Bed","Apartment"
"64","200 Rhode Island Ave NE, Washington, DC 20002","2026/01/01",2778,"2 Beds","Apartment"
"65","4000 Massachusetts Ave NW, Washington, DC 20016","2026/01/01",1550,"Studio","Apartment"
"66","4000 Massachusetts Ave NW, Washington, DC 20016","2026/01/01",1900,"1 Bed","Apartment"
"67","4000 Massachusetts Ave NW, Washington, DC 20016","2026/01/01",2600,"2 Beds","Apartment"
"68","713 Lamont St NW, Washington, DC 20010","2026/01/01",1553,"Studio","Apartment"
"69","713 Lamont St NW, Washington, DC 20010","2026/01/01",1921,"1 Bed","Apartment"
"70","713 Lamont St NW, Washington, DC 20010","2026/01/01",2525,"2 Beds","Apartment"
"71","800 Kenilworth Ave NE, Washington, DC 20019","2026/01/01",1763,"1 Bed","Apartment"
"72","800 Kenilworth Ave NE, Washington, DC 20019","2026/01/01",2112,"2 Beds","Apartment"
"73","800 Kenilworth Ave NE, Washington, DC 20019","2026/01/01",2424,"3 Beds","Apartment"
"74","2400 14th St NW, Washington, DC 20009","2026/01/01",1917,"Studio","Apartment"
"75","2400 14th St NW, Washington, DC 20009","2026/01/01",2124,"1 Bed","Apartment"
"76","2400 14th St NW, Washington, DC 20009","2026/01/01",3605,"2 Beds","Apartment"
"77","1445 P St NW, Washington, DC 20005","2026/01/01",3025,"1 Bed","Apartment"
"78","1445 P St NW, Washington, DC 20005","2026/01/01",3665,"2 Beds","Apartment"
"79","3210 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",1795,"Studio","Apartment"
"80","3210 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",2195,"1 Bed","Apartment"
"81","3210 Wisconsin Ave NW, Washington, DC 20016","2026/01/01",3360,"2 Beds","Apartment"
"82","3636 16th St NW, Washington, DC 20010","2026/01/01",1465,"Studio","Apartment"
"83","3636 16th St NW, Washington, DC 20010","2026/01/01",1891,"1 Bed","Apartment"
"84","1234 Massachusetts Ave NW, Washington, DC 20005","2026/01/01",1669,"Studio","Apartment"
"85","1234 Massachusetts Ave NW, Washington, DC 20005","2026/01/01",1900,"1 Bed","Apartment"
"86","1234 Massachusetts Ave NW, Washington, DC 20005","2026/01/01",3129,"2 Beds","Apartment"
"87","1200 14th St NW, Washington, DC 20005","2026/01/01",2148,"Studio","Apartment"
"88","1200 14th St NW, Washington, DC 20005","2026/01/01",2284,"1 Bed","Apartment"
"89","1200 14th St NW, Washington, DC 20005","2026/01/01",3949,"2 Beds","Apartment"
"90","1101 Euclid St NW, Washington, DC 20009","2026/01/01",2300,"Studio","Apartment"
"91","1101 Euclid St NW, Washington, DC 20009","2026/01/01",2800,"1 Bed","Apartment"
"92","1101 Euclid St NW, Washington, DC 20009","2026/01/01",3200,"2 Beds+","Apartment"
"93","2303 14th St NW, Washington, DC 20009","2026/01/01",2169,"Studio","Apartment"
"94","2303 14th St NW, Washington, DC 20009","2026/01/01",3015,"1 Bed","Apartment"
"95","2303 14th St NW, Washington, DC 20009","2026/01/01",3699,"2 Beds","Apartment"
"96","1301 M St NW, Washington, DC 20005","2026/01/01",2242,"1 Bed","Apartment"
"97","1301 M St NW, Washington, DC 20005","2026/01/01",3398,"2 Beds","Apartment"
"98","1301 M St NW, Washington, DC 20005","2026/01/01",6017,"3 Beds","Apartment"
"99","301 M St SW, Washington, DC 20024","2026/01/01",2060,"Studio","Apartment"
"100","301 M St SW, Washington, DC 20024","2026/01/01",1899,"1 Bed","Apartment"
"101","301 M St SW, Washington, DC 20024","2026/01/01",2533,"2 Beds","Apartment"
"102","2800 Quebec St NW, Washington, DC 20008","2026/01/01",1610,"Studio","Apartment"
"103","2800 Quebec St NW, Washington, DC 20008","2026/01/01",2135,"1 Bed","Apartment"
"104","1255 25th St NW, Washington, DC 20037","2026/01/01",2590,"Studio","Apartment"
"105","1255 25th St NW, Washington, DC 20037","2026/01/01",3165,"1 Bed","Apartment"
"106","1255 25th St NW, Washington, DC 20037","2026/01/01",4635,"2 Beds","Apartment"
"107","1676 Maryland Ave NE, Washington, DC 20002","2026/01/01",1331,"Studio","Apartment"
"108","1676 Maryland Ave NE, Washington, DC 20002","2026/01/01",1605,"1 Bed","Apartment"
"109","1676 Maryland Ave NE, Washington, DC 20002","2026/01/01",1880,"2 Beds","Apartment"
"110","2 M St NE, Washington, DC 20002","2026/01/01",1600,"Studio","Apartment"
"111","2 M St NE, Washington, DC 20002","2026/01/01",1850,"1 Bed","Apartment"
"112","2 M St NE, Washington, DC 20002","2026/01/01",3130,"2 Beds","Apartment"
"113","4201 Massachusetts Ave NW, Washington, DC 20016","2026/01/01",1350,"Studio","Apartment"
"114","4201 Massachusetts Ave NW, Washington, DC 20016","2026/01/01",1690,"1 Bed","Apartment"
"115","4201 Massachusetts Ave NW, Washington, DC 20016","2026/01/01",2850,"2 Beds","Apartment"
"116","2323 Pennsylvania Ave SE, Washington, DC 20020","2026/01/01",1781,"1 Bed","Apartment"
"117","2323 Pennsylvania Ave SE, Washington, DC 20020","2026/01/01",2128,"2 Beds","Apartment"
"118","1151-1551 4th St SW, Washington, DC 20024","2026/01/01",1915,"Studio","Apartment"
"119","1151-1551 4th St SW, Washington, DC 20024","2026/01/01",2030,"1 Bed","Apartment"
"120","1151-1551 4th St SW, Washington, DC 20024","2026/01/01",2535,"2 Beds","Apartment"
"121","2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/01/01",1784,"1 Bed","Apartment"
"122","2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/01/01",2132,"2 Beds","Apartment"
"123","2228 Martin Luther King Jr Ave SE, Washington, DC 20020","2026/01/01",2312,"3 Beds","Apartment"
"NA",NA,NA,NA,NA,NA
"125","5400 Livingston Rd, Oxon Hill, MD 20745","2026/01/01",1325,"1 Bed","Apartment"
"126","5400 Livingston Rd, Oxon Hill, MD 20745","2026/01/01",1450,"2 Beds","Apartment"
"127","5400 Livingston Rd, Oxon Hill, MD 20745","2026/01/01",1890,"3 Beds","Apartment"
"128","3103-3107 Good Hope Ave, Temple Hills, MD 20748","2026/01/01",1454,"Studio","Apartment"
"129","3103-3107 Good Hope Ave, Temple Hills, MD 20748","2026/01/01",1884,"1 Bed","Apartment"
"130","3103-3107 Good Hope Ave, Temple Hills, MD 20748","2026/01/01",2171,"2 Beds+","Apartment"
"131","4800 Addison Rd, Capitol Heights, MD 20743","2026/01/01",1739,"1 Bed","Apartment"
"132","4800 Addison Rd, Capitol Heights, MD 20743","2026/01/01",2050,"2 Beds","Apartment"
"133","4800 Addison Rd, Capitol Heights, MD 20743","2026/01/01",2570,"3 Beds","Apartment"
"NA.1",NA,NA,NA,NA,NA
"135","5685 Little Branch Run, Hyattsville, MD 20782","2026/01/01",1700,"Studio","Apartment"
"136","5685 Little Branch Run, Hyattsville, MD 20782","2026/01/01",1799,"1 Bed","Apartment"
"137","5685 Little Branch Run, Hyattsville, MD 20782","2026/01/01",2124,"2 Beds+","Apartment"
"138","1002 Kennebec St, Oxon Hill, MD 20745","2026/01/01",1200,"Studio","Apartment"
"139","1002 Kennebec St, Oxon Hill, MD 20745","2026/01/01",1495,"1 Bed","Apartment"
"140","1002 Kennebec St, Oxon Hill, MD 20745","2026/01/01",1336,"2 Beds+","Apartment"
"NA.2",NA,NA,NA,NA,NA
"142","5443 16th Ave, Hyattsville, MD 20782","2026/01/01",1262,"Studio","Apartment"
"143","5443 16th Ave, Hyattsville, MD 20782","2026/01/01",1262,"1 Bed","Apartment"
"144","5443 16th Ave, Hyattsville, MD 20782","2026/01/01",1583,"2 Beds","Apartment"
